name,x,y,time
Group 1,36.13,13.2,2025-09-19 13:19:17.379083
Group 1,36.12,13.19,2025-09-19 13:19:18.379119
Group 1,35.8,12.97,2025-09-19 13:19:19.379131
Group 1,35.81,13.01,2025-09-19 13:19:20.379164
Group 1,35.76,13.01,2025-09-19 13:19:21.379086
Group 1,35.56,13.05,2025-09-19 13:19:22.379145
Group 1,35.61,13.06,2025-09-19 13:19:23.377572
Group 1,35.78,13.01,2025-09-19 13:19:24.379956
Group 1,36.3,13.23,2025-09-19 13:19:25.379133
Group 1,36.22,13.19,2025-09-19 13:19:26.379073
Group 1,36.01,13.17,2025-09-19 13:19:27.379015
Group 1,36.13,13.19,2025-09-19 13:19:28.379084
Group 1,35.94,13.17,2025-09-19 13:19:29.379121
Group 1,35.92,13.07,2025-09-19 13:19:30.38177
Group 1,35.89,13.01,2025-09-19 13:19:31.381946
Group 1,35.69,12.99,2025-09-19 13:19:32.379019
Group 1,35.97,13.06,2025-09-19 13:19:33.378931
Group 1,35.95,13.06,2025-09-19 13:19:34.381443
Group 1,36.18,13.07,2025-09-19 13:19:35.37897
Group 1,36.13,12.95,2025-09-19 13:19:36.377482
Group 1,36.02,12.88,2025-09-19 13:19:37.377514
Group 1,36.02,12.84,2025-09-19 13:19:38.377471
Group 1,36.05,12.82,2025-09-19 13:19:39.379197
Group 1,36.06,12.86,2025-09-19 13:19:40.377445
Group 1,36.01,12.77,2025-09-19 13:19:41.377457
Group 1,35.97,12.72,2025-09-19 13:19:42.378838
Group 1,36.08,12.69,2025-09-19 13:19:43.377539
Group 1,35.71,12.61,2025-09-19 13:19:44.379251
Group 1,35.44,12.58,2025-09-19 13:19:45.379069
Group 1,35.28,12.65,2025-09-19 13:19:46.377634
Group 1,35.15,13.25,2025-09-19 13:19:47.379278
Group 1,34.82,13.7,2025-09-19 13:19:48.378935
Group 1,34.55,14.13,2025-09-19 13:19:49.377457
Group 1,34.49,14.71,2025-09-19 13:19:50.377454
Group 1,34.51,15.87,2025-09-19 13:19:51.379281
Group 1,34.8,15.21,2025-09-19 13:19:52.379248
Group 1,34.84,14.59,2025-09-19 13:19:53.379299
Group 1,34.91,14.25,2025-09-19 13:19:54.377523
Group 1,34.66,14.51,2025-09-19 13:19:55.377521
Group 1,34.57,14.01,2025-09-19 13:19:56.377502
